净值日期,累计净值,单位净值,日增长率,复权净值
2020-03-08,1.0,1.0,0.0,1.0
2020-03-09,1.0047,1.0047,0.0,1.0047
2020-03-10,1.0047,1.0047,0.0,1.0047
2020-03-11,1.0047,1.0047,0.0,1.0047
2020-03-12,1.0048,1.0048,0.01,1.0048
2020-03-13,1.0049,1.0049,0.01,1.0049
2020-03-16,1.0052,1.0052,0.0299,1.0052
2020-03-17,1.0053,1.0053,0.0099,1.0053
2020-03-18,1.0054,1.0054,0.0099,1.0054
2020-03-19,1.0055,1.0055,0.0099,1.0055
2020-03-20,1.0056,1.0056,0.0099,1.0056
2020-03-23,1.006,1.006,0.0398,1.006
2020-03-24,1.0062,1.0062,0.0199,1.0062
2020-03-25,1.0062,1.0062,0.0,1.0062
2020-03-26,1.0063,1.0063,0.0099,1.0063
2020-03-27,1.0064,1.0064,0.0099,1.0064
2020-03-30,1.0065,1.0065,0.0099,1.0065
2020-03-31,1.0066,1.0066,0.0099,1.0066
2020-04-01,1.0068,1.0068,0.0199,1.0068
2020-04-02,1.007,1.007,0.0199,1.007
2020-04-03,1.007,1.007,0.0,1.007
2020-04-07,1.0078,1.0078,0.0794,1.0078
2020-04-08,1.0081,1.0081,0.0298,1.0081
2020-04-09,1.0082,1.0082,0.0099,1.0082
2020-04-10,1.0081,1.0081,-0.0099,1.0081
2020-04-13,1.0082,1.0082,0.0099,1.0082
2020-04-14,1.0083,1.0083,0.0099,1.0083
2020-04-15,1.0084,1.0084,0.0099,1.0084
2020-04-16,1.0084,1.0084,0.0,1.0084
2020-04-17,1.0087,1.0087,0.0298,1.0087
2020-04-20,1.0088,1.0088,0.0099,1.0088
2020-04-21,1.0089,1.0089,0.0099,1.0089
2020-04-22,1.0089,1.0089,0.0,1.0089
2020-04-23,1.009,1.009,0.0099,1.009
2020-04-24,1.0091,1.0091,0.0099,1.0091
2020-04-27,1.0092,1.0092,0.0099,1.0092
2020-04-28,1.0093,1.0093,0.0099,1.0093
2020-04-29,1.0093,1.0093,0.0,1.0093
2020-04-30,1.0093,1.0093,0.0,1.0093
2020-05-06,1.0096,1.0096,0.0297,1.0096
2020-05-07,1.0096,1.0096,0.0,1.0096
2020-05-08,1.0096,1.0096,0.0,1.0096
2020-05-11,1.0096,1.0096,0.0,1.0096
2020-05-12,1.0097,1.0097,0.0099,1.0097
2020-05-13,1.0097,1.0097,0.0,1.0097
2020-05-14,1.0097,1.0097,0.0,1.0097
2020-05-15,1.0098,1.0098,0.0099,1.0098
2020-05-18,1.0099,1.0099,0.0099,1.0099
2020-05-19,1.0099,1.0099,0.0,1.0099
2020-05-20,1.0099,1.0099,0.0,1.0099
2020-05-21,1.0099,1.0099,0.0,1.0099
2020-05-22,1.0099,1.0099,0.0,1.0099
2020-05-25,1.0101,1.0101,0.0198,1.0101
2020-05-26,1.0099,1.0099,-0.0198,1.0099
2020-05-27,1.0099,1.0099,0.0,1.0099
2020-05-28,1.0098,1.0098,-0.0099,1.0098
2020-05-29,1.0097,1.0097,-0.0099,1.0097
2020-06-01,1.0098,1.0098,0.0099,1.0098
2020-06-02,1.0097,1.0097,-0.0099,1.0097
2020-06-03,1.009,1.009,-0.0693,1.009
2020-06-04,1.0088,1.0088,-0.0198,1.0088
2020-06-05,1.0083,1.0083,-0.0496,1.0083
2020-06-08,1.0081,1.0081,-0.0198,1.0081
2020-06-09,1.0082,1.0082,0.0099,1.0082
2020-06-10,1.0082,1.0082,0.0,1.0082
2020-06-11,1.0083,1.0083,0.0099,1.0083
2020-06-12,1.0084,1.0084,0.0099,1.0084
2020-06-15,1.0086,1.0086,0.0198,1.0086
2020-06-16,1.0086,1.0086,0.0,1.0086
2020-06-17,1.0086,1.0086,0.0,1.0086
2020-06-18,1.0087,1.0087,0.0099,1.0087
2020-06-19,1.0087,1.0087,0.0,1.0087
2020-06-22,1.0088,1.0088,0.0099,1.0088
2020-06-23,1.0086,1.0086,-0.0198,1.0086
2020-06-24,1.0086,1.0086,0.0,1.0086
2020-06-29,1.0095,1.0095,0.0892,1.0095
2020-06-30,1.0095,1.0095,0.0,1.0095
2020-07-01,1.0097,1.0097,0.0198,1.0097
2020-07-02,1.0099,1.0099,0.0198,1.0099
2020-07-03,1.0101,1.0101,0.0198,1.0101
2020-07-06,1.0102,1.0102,0.0099,1.0102
2020-07-07,1.01,1.01,-0.0198,1.01
2020-07-08,1.0099,1.0099,-0.0099,1.0099
2020-07-09,1.0096,1.0096,-0.0297,1.0096
2020-07-10,1.0095,1.0095,-0.0099,1.0095
2020-07-13,1.0095,1.0095,0.0,1.0095
2020-07-14,1.0096,1.0096,0.0099,1.0096
2020-07-15,1.0096,1.0096,0.0,1.0096
2020-07-16,1.0097,1.0097,0.0099,1.0097
2020-07-17,1.0098,1.0098,0.0099,1.0098
2020-07-20,1.01,1.01,0.0198,1.01
2020-07-21,1.0102,1.0102,0.0198,1.0102
2020-07-22,1.0103,1.0103,0.0099,1.0103
2020-07-23,1.0103,1.0103,0.0,1.0103
2020-07-24,1.0104,1.0104,0.0099,1.0104
2020-07-27,1.0105,1.0105,0.0099,1.0105
2020-07-28,1.0106,1.0106,0.0099,1.0106
2020-07-29,1.0106,1.0106,0.0,1.0106
2020-07-30,1.0108,1.0108,0.0198,1.0108
2020-07-31,1.0108,1.0108,0.0,1.0108
2020-08-03,1.0111,1.0111,0.0297,1.0111
2020-08-04,1.0111,1.0111,0.0,1.0111
2020-08-05,1.0112,1.0112,0.0099,1.0112
2020-08-06,1.0113,1.0113,0.0099,1.0113
2020-08-07,1.0113,1.0113,0.0,1.0113
