净值日期,累计净值,单位净值,日增长率,复权净值
2016-11-18,1.0,1.0,0.0,1.0
2016-11-25,1.0,1.0,0.0,1.0
2016-12-02,1.0,1.0,0.0,1.0
2016-12-09,1.0,1.0,0.0,1.0
2016-12-16,1.001,1.001,0.0,1.001
2016-12-23,1.001,1.001,0.0,1.001
2016-12-30,1.002,1.002,0.0,1.002
2016-12-31,1.002,1.002,0.0,1.002
2017-01-06,1.002,1.002,0.0,1.002
2017-01-13,1.001,1.001,0.0,1.001
2017-01-20,1.003,1.003,0.0,1.003
2017-01-26,1.004,1.004,0.0,1.004
2017-02-03,1.003,1.003,-0.0996,1.003
2017-02-10,1.004,1.004,0.0,1.004
2017-02-16,1.005,1.005,0.0,1.005
2017-02-17,1.005,1.005,0.0,1.005
2017-02-20,1.007,1.007,0.199,1.007
2017-02-21,1.007,1.007,0.0,1.007
2017-02-22,1.008,1.008,0.0993,1.008
2017-02-23,1.008,1.008,0.0,1.008
2017-02-24,1.008,1.008,0.0,1.008
2017-02-27,1.006,1.006,-0.1984,1.006
2017-02-28,1.007,1.007,0.0994,1.007
2017-03-01,1.007,1.007,0.0,1.007
2017-03-02,1.006,1.006,-0.0993,1.006
2017-03-03,1.006,1.006,0.0,1.006
2017-03-06,1.007,1.007,0.0994,1.007
2017-03-07,1.008,1.008,0.0993,1.008
2017-03-08,1.007,1.007,-0.0992,1.007
2017-03-09,1.007,1.007,0.0,1.007
2017-03-10,1.007,1.007,0.0,1.007
2017-03-13,1.008,1.008,0.0993,1.008
2017-03-14,1.008,1.008,0.0,1.008
2017-03-15,1.009,1.009,0.0992,1.009
2017-03-16,1.009,1.009,0.0,1.009
2017-03-17,1.008,1.008,-0.0991,1.008
2017-03-20,1.009,1.009,0.0992,1.009
2017-03-21,1.012,1.012,0.2973,1.012
2017-03-22,1.012,1.012,0.0,1.012
2017-03-23,1.01,1.01,-0.1976,1.01
2017-03-24,1.01,1.01,0.0,1.01
2017-03-27,1.009,1.009,-0.099,1.009
2017-03-28,1.009,1.009,0.0,1.009
2017-03-29,1.009,1.009,0.0,1.009
2017-03-30,1.008,1.008,-0.0991,1.008
2017-03-31,1.009,1.009,0.0992,1.009
2017-04-05,1.01,1.01,0.0991,1.01
2017-04-06,1.01,1.01,0.0,1.01
2017-04-07,1.011,1.011,0.099,1.011
2017-04-10,1.01,1.01,-0.0989,1.01
2017-04-11,1.01,1.01,0.0,1.01
2017-04-12,1.009,1.009,-0.099,1.009
2017-04-13,1.01,1.01,0.0991,1.01
2017-04-14,1.008,1.008,-0.198,1.008
2017-04-17,1.008,1.008,0.0,1.008
2017-04-18,1.01,1.01,0.1984,1.01
2017-04-19,1.01,1.01,0.0,1.01
2017-04-20,1.012,1.012,0.198,1.012
2017-04-21,1.01,1.01,-0.1976,1.01
2017-04-24,1.008,1.008,-0.198,1.008
2017-04-25,1.009,1.009,0.0992,1.009
2017-04-26,1.008,1.008,-0.0991,1.008
2017-04-27,1.009,1.009,0.0992,1.009
2017-04-28,1.008,1.008,-0.0991,1.008
2017-05-02,1.008,1.008,0.0,1.008
2017-05-03,1.008,1.008,0.0,1.008
2017-05-04,1.008,1.008,0.0,1.008
2017-05-05,1.008,1.008,0.0,1.008
